ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;57;46;52;168;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;34;12;26;74;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;26;11;24;62;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;24;12;21;58;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;7;18;48;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;23;5;18;47;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;8;19;50;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;5;18;47;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;7;18;49;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;7;20;50;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;5;20;48;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;4;20;48;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;23;5;20;48;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;5;21;49;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;6;20;49;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;5;20;49;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;7;19;49;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;24;4;18;47;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;25;4;18;48;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;25;4;18;48;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;25;4;18;48;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;25;4;18;48;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;25;9;18;53;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;24;4;18;47;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;5;18;46;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;5;19;47;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;5;18;46;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;4;18;46;3.harold_large.jpg;true
2d9899cf-99c8-4b20-9b22-fc4447d52bba;2;22;4;18;46;3.harold_large.jpg;true
