ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;57;60;23;152;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;37;17;12;68;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;29;10;8;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;32;15;7;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;32;5;6;45;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;24;5;6;36;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;25;6;6;38;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;25;7;9;43;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;25;13;7;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;24;3;6;34;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;2;5;32;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;2;5;32;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;24;2;6;34;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;6;31;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;3;6;33;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;5;31;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;24;2;6;33;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;6;6;35;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;3;6;31;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;4;5;33;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;7;6;36;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;8;6;36;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;6;31;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;25;2;6;34;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;5;31;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;3;6;32;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;5;6;34;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;24;3;6;33;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;5;31;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;6;31;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;3;6;32;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;24;7;6;37;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;5;30;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;5;30;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;5;6;34;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;6;30;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;3;6;31;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;4;6;33;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;24;3;6;34;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;6;5;35;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;2;6;31;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;3;5;32;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;24;3;6;33;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;6;6;35;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;5;6;34;3.harold_large.jpg;true
